Station,Measurement,Messgrösse,Messwert,Einheit,Retrieved
Bunthaus,02.10.2025 15:50,Sauerstoffsättigung,125.6,%,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 16:00,Trübung,16.2,FNU,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 16:00,Sauerstoffkonzentration,12.9,mg/l,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 16:00,pH-Wert,8.9,ohne,2025-10-03T01:00:01.587225Z
Bunthaus,02.10.2025 16:00,Wassertemperatur,14.2,°C,2025-10-03T01:00:01.587225Z
Blankenese,02.10.2025 16:00,Sauerstoffkonzentration,5.9,mg/l,2025-10-03T01:00:01.660689Z
Blankenese,02.10.2025 16:00,pH-Wert,7.6,ohne,2025-10-03T01:00:01.660689Z
Blankenese,02.10.2025 16:00,Sauerstoffsättigung,60.4,%,2025-10-03T01:00:01.660689Z
Blankenese,02.10.2025 16:00,Wassertemperatur,15.9,°C,2025-10-03T01:00:01.660689Z
Blankenese,02.10.2025 16:00,Trübung,35.5,FNU,2025-10-03T01:00:01.660689Z
Bunthaus,02.10.2025 15:30,Chlorophyll Kieselalgen,87.4,µg/l,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 15:30,Chlorophyll (gesamt),139.4,µg/l,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 15:30,Chlorophyll Grünalgen,44.5,µg/l,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 15:50,Sauerstoffsättigung,125.6,%,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 16:00,Trübung,16.2,FNU,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 16:00,Sauerstoffkonzentration,12.9,mg/l,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 16:00,pH-Wert,8.9,ohne,2025-10-03T04:00:02.071066Z
Bunthaus,02.10.2025 16:00,Wassertemperatur,14.2,°C,2025-10-03T04:00:02.071066Z
Blankenese,02.10.2025 16:00,Sauerstoffkonzentration,5.9,mg/l,2025-10-03T04:00:02.146172Z
Blankenese,02.10.2025 16:00,pH-Wert,7.6,ohne,2025-10-03T04:00:02.146172Z
Blankenese,02.10.2025 16:00,Sauerstoffsättigung,60.4,%,2025-10-03T04:00:02.146172Z
Blankenese,02.10.2025 16:00,Wassertemperatur,15.9,°C,2025-10-03T04:00:02.146172Z
Blankenese,02.10.2025 16:00,Trübung,35.5,FNU,2025-10-03T04:00:02.146172Z
Bunthaus,03.10.2025 06:50,Chlorophyll (gesamt),120.3,µg/l,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 06:50,Sauerstoffsättigung,117.1,%,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 06:50,Chlorophyll Grünalgen,42.0,µg/l,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 06:50,Chlorophyll Kieselalgen,70.3,µg/l,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 07:00,Wassertemperatur,13.9,°C,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 07:00,Sauerstoffkonzentration,12.0,mg/l,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 07:00,Trübung,13.7,FNU,2025-10-03T07:00:01.477209Z
Bunthaus,03.10.2025 07:00,pH-Wert,8.8,ohne,2025-10-03T07:00:01.477209Z
Blankenese,03.10.2025 07:00,Sauerstoffkonzentration,6.0,mg/l,2025-10-03T07:00:01.546367Z
Blankenese,03.10.2025 07:00,Trübung,22.4,FNU,2025-10-03T07:00:01.546367Z
Blankenese,03.10.2025 07:00,Sauerstoffsättigung,60.4,%,2025-10-03T07:00:01.546367Z
Blankenese,03.10.2025 07:00,Wassertemperatur,15.3,°C,2025-10-03T07:00:01.546367Z
Blankenese,03.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-03T07:00:01.546367Z
Bunthaus,03.10.2025 06:50,Chlorophyll (gesamt),120.3,µg/l,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 06:50,Sauerstoffsättigung,117.1,%,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 06:50,Chlorophyll Grünalgen,42.0,µg/l,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 06:50,Chlorophyll Kieselalgen,70.3,µg/l,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 07:00,Wassertemperatur,13.9,°C,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 07:00,Sauerstoffkonzentration,12.0,mg/l,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 07:00,Trübung,13.7,FNU,2025-10-03T10:00:01.662885Z
Bunthaus,03.10.2025 07:00,pH-Wert,8.8,ohne,2025-10-03T10:00:01.662885Z
Blankenese,03.10.2025 07:00,Sauerstoffkonzentration,6.0,mg/l,2025-10-03T10:00:01.732323Z
Blankenese,03.10.2025 07:00,Trübung,22.4,FNU,2025-10-03T10:00:01.732323Z
Blankenese,03.10.2025 07:00,Sauerstoffsättigung,60.4,%,2025-10-03T10:00:01.732323Z
Blankenese,03.10.2025 07:00,Wassertemperatur,15.3,°C,2025-10-03T10:00:01.732323Z
Blankenese,03.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-03T10:00:01.732323Z
Bunthaus,03.10.2025 15:40,Chlorophyll Kieselalgen,74.6,µg/l,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 15:40,Chlorophyll Grünalgen,39.9,µg/l,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 15:40,Chlorophyll (gesamt),122.2,µg/l,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 15:50,Sauerstoffsättigung,122.3,%,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 16:00,Trübung,14.9,FNU,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 16:00,Wassertemperatur,14.0,°C,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 16:00,pH-Wert,8.8,ohne,2025-10-04T04:01:21.399615Z
Bunthaus,03.10.2025 16:00,Sauerstoffkonzentration,12.5,mg/l,2025-10-04T04:01:21.399615Z
Blankenese,03.10.2025 16:00,Trübung,40.9,FNU,2025-10-04T04:01:21.457495Z
Blankenese,03.10.2025 16:00,Sauerstoffkonzentration,6.1,mg/l,2025-10-04T04:01:21.457495Z
Blankenese,03.10.2025 16:00,Sauerstoffsättigung,62.4,%,2025-10-04T04:01:21.457495Z
Blankenese,03.10.2025 16:00,pH-Wert,7.7,ohne,2025-10-04T04:01:21.457495Z
Blankenese,03.10.2025 16:00,Wassertemperatur,15.5,°C,2025-10-04T04:01:21.457495Z
Bunthaus,04.10.2025 06:50,Sauerstoffsättigung,112.2,%,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Sauerstoffkonzentration,11.6,mg/l,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Wassertemperatur,13.5,°C,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Trübung,15.9,FNU,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,pH-Wert,8.7,ohne,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Chlorophyll (gesamt),115.1,µg/l,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Chlorophyll Grünalgen,42.6,µg/l,2025-10-04T07:00:16.424881Z
Bunthaus,04.10.2025 07:00,Chlorophyll Kieselalgen,66.0,µg/l,2025-10-04T07:00:16.424881Z
Blankenese,04.10.2025 07:00,Wassertemperatur,15.0,°C,2025-10-04T07:00:16.490501Z
Blankenese,04.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-04T07:00:16.490501Z
Blankenese,04.10.2025 07:00,Sauerstoffkonzentration,6.5,mg/l,2025-10-04T07:00:16.490501Z
Blankenese,04.10.2025 07:00,Sauerstoffsättigung,65.2,%,2025-10-04T07:00:16.490501Z
Blankenese,04.10.2025 07:00,Trübung,20.1,FNU,2025-10-04T07:00:16.490501Z
Bunthaus,05.10.2025 15:50,Chlorophyll (gesamt),43.6,µg/l,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 15:50,Chlorophyll Grünalgen,17.6,µg/l,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 15:50,Sauerstoffsättigung,83.6,%,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 15:50,Chlorophyll Kieselalgen,20.1,µg/l,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 16:00,Sauerstoffkonzentration,8.5,mg/l,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 16:00,Wassertemperatur,14.1,°C,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 16:00,pH-Wert,8.1,ohne,2025-10-05T22:00:02.600416Z
Bunthaus,05.10.2025 16:00,Trübung,22.7,FNU,2025-10-05T22:00:02.600416Z
Blankenese,05.10.2025 16:00,Sauerstoffkonzentration,7.4,mg/l,2025-10-05T22:00:02.754618Z
Blankenese,05.10.2025 16:00,pH-Wert,7.8,ohne,2025-10-05T22:00:02.754618Z
Blankenese,05.10.2025 16:00,Trübung,46.3,FNU,2025-10-05T22:00:02.754618Z
Blankenese,05.10.2025 16:00,Wassertemperatur,14.9,°C,2025-10-05T22:00:02.754618Z
Blankenese,05.10.2025 16:00,Sauerstoffsättigung,73.7,%,2025-10-05T22:00:02.754618Z
Bunthaus,05.10.2025 15:50,Chlorophyll (gesamt),43.6,µg/l,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 15:50,Chlorophyll Grünalgen,17.6,µg/l,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 15:50,Sauerstoffsättigung,83.6,%,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 15:50,Chlorophyll Kieselalgen,20.1,µg/l,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 16:00,Sauerstoffkonzentration,8.5,mg/l,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 16:00,Wassertemperatur,14.1,°C,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 16:00,pH-Wert,8.1,ohne,2025-10-06T04:00:02.965133Z
Bunthaus,05.10.2025 16:00,Trübung,22.7,FNU,2025-10-06T04:00:02.965133Z
Blankenese,05.10.2025 16:00,Sauerstoffkonzentration,7.4,mg/l,2025-10-06T04:00:03.033076Z
Blankenese,05.10.2025 16:00,pH-Wert,7.8,ohne,2025-10-06T04:00:03.033076Z
Blankenese,05.10.2025 16:00,Trübung,46.3,FNU,2025-10-06T04:00:03.033076Z
Blankenese,05.10.2025 16:00,Wassertemperatur,14.9,°C,2025-10-06T04:00:03.033076Z
Blankenese,05.10.2025 16:00,Sauerstoffsättigung,73.7,%,2025-10-06T04:00:03.033076Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T07:02:01.926587Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T07:02:01.926587Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T07:02:02.001710Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T07:02:02.001710Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T07:02:02.001710Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T07:02:02.001710Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T07:02:02.001710Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T09:46:14.784560Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T09:46:14.784560Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T09:46:14.852168Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T09:46:14.852168Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T09:46:14.852168Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T09:46:14.852168Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T09:46:14.852168Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T09:46:44.316938Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T09:46:44.316938Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T09:46:44.363639Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T09:46:44.363639Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T09:46:44.363639Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T09:46:44.363639Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T09:46:44.363639Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T09:47:01.227667Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T09:47:01.227667Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T09:47:01.298749Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T09:47:01.298749Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T09:47:01.298749Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T09:47:01.298749Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T09:47:01.298749Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T09:48:01.630002Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T09:48:01.630002Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T09:48:01.691652Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T09:48:01.691652Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T09:48:01.691652Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T09:48:01.691652Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T09:48:01.691652Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T09:49:02.038911Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T09:49:02.038911Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T09:49:02.122512Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T09:49:02.122512Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T09:49:02.122512Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T09:49:02.122512Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T09:49:02.122512Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T10:00:02.002795Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T10:00:02.002795Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T10:00:02.088180Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T10:00:02.088180Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T10:00:02.088180Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T10:00:02.088180Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T10:00:02.088180Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T10:01:01.367722Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T10:01:01.367722Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T10:01:01.427958Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T10:01:01.427958Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T10:01:01.427958Z
Blankenese,06.10.2025 07:00,Wassertemperatur,14.6,°C,2025-10-06T10:01:01.427958Z
Blankenese,06.10.2025 07:00,Sauerstoffsättigung,70.0,%,2025-10-06T10:01:01.427958Z
Bunthaus,06.10.2025 06:10,Chlorophyll (gesamt),49.0,µg/l,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 06:10,Chlorophyll Kieselalgen,20.7,µg/l,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 06:10,Chlorophyll Grünalgen,21.9,µg/l,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 06:50,Sauerstoffsättigung,88.9,%,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 07:00,Trübung,15.1,FNU,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 07:00,Wassertemperatur,13.2,°C,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 07:00,Sauerstoffkonzentration,9.4,mg/l,2025-10-06T10:02:01.955257Z
Bunthaus,06.10.2025 07:00,pH-Wert,8.4,ohne,2025-10-06T10:02:01.955257Z
Blankenese,06.10.2025 07:00,pH-Wert,7.7,ohne,2025-10-06T10:02:02.038681Z
Blankenese,06.10.2025 07:00,Trübung,70.0,FNU,2025-10-06T10:02:02.038681Z
Blankenese,06.10.2025 07:00,Sauerstoffkonzentration,7.0,mg/l,2025-10-06T10:02:02.038681Z
